"Class Name - Allocated Objects","Bytes Allocated","Bytes Allocated","Objects Allocated"
"com.sun.imageio.plugins.jpeg.SOSMarkerSegment$ScanComponentSpec","0.00%","3136","450"
"java.util.AbstractList$Itr","0.00%","2912","411"
"sun.java2d.DefaultDisposerRecord","0.00%","2848","394"
"com.sun.imageio.plugins.jpeg.DQTMarkerSegment$Qtable","0.00%","2600","300"
"javax.imageio.stream.FileCacheImageInputStream","0.00%","2592","121"
"javax.swing.JLabel","0.00%","2400","23"
"apple.awt.OSXCachingSurfaceManager","0.00%","2400","336"
"java.util.LinkedList$ListItr","0.00%","2336","331"
"javax.imageio.spi.FilterIterator","0.00%","2328","436"
"javax.imageio.stream.FileImageOutputStream","0.00%","2240","150"
"sun.font.Font2DHandle","0.00%","2192","632"
"com.sun.imageio.plugins.jpeg.JPEGImageWriter","0.00%","2184","54"
"java.awt.SentEvent","0.00%","2184","170"
"javax.imageio.plugins.jpeg.JPEGQTable","0.00%","2112","604"
"java.net.URLClassLoader$1","0.00%","2064","393"
"java.util.regex.Pattern","0.00%","2048","135"
"apple.laf.JRSUIState$ValueState","0.00%","2016","185"
"com.sun.imageio.plugins.jpeg.JPEGMetadata","0.00%","2016","150"
"javax.swing.GroupLayout$SpringDelta","0.00%","1992","389"
"java.lang.reflect.Method[]","0.00%","1896","57"
"java.awt.image.DataBufferInt","0.00%","1872","175"
"sun.misc.URLClassPath$FileLoader$1","0.00%","1856","271"
"java.util.regex.Pattern$GroupHead[]","0.00%","1848","135"
"com.sun.imageio.plugins.jpeg.JPEGImageReader$JPEGReaderDisposerRecord","0.00%","1824","333"
"sun.java2d.loops.GraphicsPrimitiveMgr$PrimitiveSpec","0.00%","1824","504"
"com.bixly.pastevid.recorders.VideoRecorder$ModifyImageThread","0.00%","1680","53"
"com.sun.imageio.plugins.jpeg.DHTMarkerSegment$Htable[]","0.00%","1632","300"
"javax.imageio.plugins.jpeg.JPEGHuffmanTable[]","0.00%","1584","300"
"javax.swing.GroupLayout$ComponentSpring","0.00%","1584","94"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","0.00%","1584","86"
"com.sun.imageio.plugins.jpeg.SOFMarkerSegment","0.00%","1584","150"
"javax.swing.JRootPane","0.00%","1568","16"
"sun.awt.CausedFocusEvent","0.00%","1568","117"
"com.sun.imageio.plugins.png.PNGImageReader","0.00%","1536","49"
"java.beans.PropertyChangeSupport","0.00%","1536","211"
"java.util.Hashtable$Enumerator","0.00%","1536","142"
"java.util.concurrent.ConcurrentHashMap$Segment","0.00%","1520","160"
"javax.imageio.plugins.jpeg.JPEGImageWriteParam","0.00%","1496","54"
"com.sun.imageio.plugins.jpeg.SOSMarkerSegment","0.00%","1488","150"
"java.util.jar.JarFile$JarFileEntry","0.00%","1440","74"
"com.sun.imageio.stream.CloseableDisposerRecord","0.00%","1440","411"
"javax.swing.JLayeredPane","0.00%","1440","16"
"sun.font.FontFamily","0.00%","1440","163"
"java.util.Vector","0.00%","1408","200"
"java.lang.ClassNotFoundException","0.00%","1408","203"
"java.awt.event.WindowEvent","0.00%","1400","108"
"java.lang.reflect.Field[]","0.00%","1384","18"
"java.security.CodeSource","0.00%","1344","191"
"javax.imageio.ImageIO$ImageReaderIterator","0.00%","1344","382"
"javax.imageio.ImageIO$CanDecodeInputFilter","0.00%","1328","382"
"apple.awt.CPeerSurfaceData","0.00%","1312","17"
"java.text.FieldPosition","0.00%","1312","190"
"java.awt.image.DirectColorModel","0.00%","1296","37"
