"Class Name - Allocated Objects","Bytes Allocated","Bytes Allocated","Objects Allocated"
"java.awt.AWTKeyStroke[][]","0.00%","32","1"
"com.apple.laf.AquaProgressBarUI$1$1","0.00%","32","1"
"sun.misc.SoftCache","0.00%","32","1"
"java.lang.UNIXProcess$2","0.00%","32","11"
"javax.swing.text.GapContent$MarkVector","0.00%","32","4"
"it.sauronsoftware.jave.VideoAttributes","0.00%","32","2"
"com.apple.laf.AquaLookAndFeel","0.00%","32","1"
"it.sauronsoftware.jave.MultimediaInfo","0.00%","32","1"
"com.apple.laf.AquaKeyBindings$AquaMultilineAction","0.00%","32","4"
"com.apple.laf.AquaImageFactory$NamedImageSingleton","0.00%","32","4"
"it.sauronsoftware.jave.AudioInfo","0.00%","32","1"
"com.apple.laf.AquaImageFactory$4$1","0.00%","32","1"
"javax.swing.text.JTextComponent$DefaultKeymap","0.00%","32","3"
"com.apple.laf.AquaIcon$SystemIconUIResourceSingleton","0.00%","32","7"
"com.apple.laf.AquaHighlighter","0.00%","32","2"
"sun.net.spi.DefaultProxySelector$3","0.00%","32","4"
"javax.swing.text.JTextComponent$MutableCaretEvent","0.00%","32","2"
"java.util.Random","0.00%","32","1"
"sun.net.www.HeaderParser","0.00%","32","2"
"com.apple.laf.AquaButtonUI","0.00%","32","1"
"com.apple.laf.AquaButtonToggleUI","0.00%","32","1"
"java.io.FileWriter","0.00%","32","2"
"javax.swing.text.Segment","0.00%","32","2"
"javax.swing.text.SegmentCache$CachedSegment","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_UserSessionDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_SystemSleepDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_ScreenSleepDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_PrintFileDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_OpenURIDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_OpenFileDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_OpenAppDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_HiddenAppDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_AppReOpenedDispatcher","0.00%","32","1"
"com.apple.eawt._AppEventHandler$_AppForegroundDispatcher","0.00%","32","1"
"java.io.FilePermission$1","0.00%","32","10"
"javax.sound.sampled.AudioFormat$Encoding[]","0.00%","32","5"
"com.sun.media.sound.MixerSourceLine$MixerSourceLineMuteControl","0.00%","32","2"
"java.util.ServiceLoader","0.00%","32","4"
"javax.swing.text.StyleConstants","0.00%","32","4"
"sun.net.www.http.KeepAliveKey","0.00%","32","2"
"java.net.Socket","0.00%","32","2"
"java.net.Proxy$Type[]","0.00%","32","1"
"apple.laf.JRSUIControl$BufferState[]","0.00%","32","1"
"apple.awt.CGlobalCursorManager","0.00%","32","1"
"javax.swing.text.StyleConstants$CharacterConstants","0.00%","32","7"
"apple.laf.JRSUIConstants$UserInterfaceLayoutDirection","0.00%","32","2"
"apple.laf.JRSUIConstants$Size","0.00%","32","4"
"com.sun.media.sound.HeadspaceMixer$MixerInfo","0.00%","32","1"
"apple.laf.JRSUIConstants$Orientation","0.00%","32","2"
"apple.laf.JRSUIConstants$NoIndicator","0.00%","32","2"
"javax.swing.TransferHandler$TransferSupport","0.00%","32","1"
"apple.laf.JRSUIConstants$FrameOnly","0.00%","32","2"
"apple.laf.JRSUIConstants$Focused","0.00%","32","2"
"apple.laf.JRSUIConstants$Animating","0.00%","32","2"
"apple.laf.JRSUIConstants$AlignmentVertical","0.00%","32","3"
"apple.laf.JRSUIConstants$AlignmentHorizontal","0.00%","32","3"
"sun.net.www.protocol.http.HttpURLConnection$TunnelState[]","0.00%","32","1"
"com.sun.media.sound.EventDispatcher","0.00%","32","1"
"javax.swing.text.StyleConstants$ParagraphConstants","0.00%","32","9"
"javax.sound.sampled.FloatControl$Type","0.00%","32","9"
"javax.swing.UIManager$LookAndFeelInfo[]","0.00%","32","1"
"javax.swing.border.BevelBorder","0.00%","32","2"
"javax.swing.border.EmptyBorder","0.00%","32","2"
"java.text.DontCareFieldPosition","0.00%","32","1"
"javax.swing.text.StyleContext$NamedStyle","0.00%","32","2"
"javax.swing.text.WrappedPlainView$WrappedLine","0.00%","32","1"
"java.security.ProtectionDomain$Key","0.00%","32","7"
"java.security.PrivilegedActionException","0.00%","32","5"
"java.security.Principal[]","0.00%","32","7"
"java.util.Collections$UnmodifiableMap","0.00%","32","4"
"java.security.MessageDigest$Delegate","0.00%","32","2"
"org.netbeans.lib.awtextra.AbsoluteLayout","0.00%","32","6"
"java.nio.channels.spi.AbstractInterruptibleChannel$1","0.00%","32","8"
"java.util.HashMap$EntrySet","0.00%","32","5"
"java.util.LinkedHashMap$KeyIterator","0.00%","32","2"
"javax.swing.plaf.IconUIResource","0.00%","32","7"
"java.util.Locale","0.00%","32","3"
"java.util.Map[]","0.00%","32","1"
"javax.sound.sampled.LineEvent$Type","0.00%","32","4"
"java.awt.image.ColorModel[]","0.00%","32","1"
"sun.awt.color.ProfileDeferralInfo","0.00%","32","1"
"javax.swing.plaf.basic.BasicOptionPaneUI$ButtonFactory","0.00%","32","4"
"sun.util.ResourceBundleEnumeration","0.00%","32","3"
"sun.awt.image.FetcherInfo","0.00%","32","1"
"sun.awt.image.ImageDecoder$1","0.00%","32","6"
"java.awt.geom.Rectangle2D$Float","0.00%","32","1"
"javax.swing.GroupLayout$Alignment[]","0.00%","32","2"
"javax.swing.plaf.basic.BasicSliderUI$TrackListener","0.00%","32","2"
"com.sun.awt.AWTUtilities$Translucency[]","0.00%","32","2"
"com.bric.qt.io.VideoSampleDescriptionAtom","0.00%","32","1"
"javax.swing.plaf.basic.BasicTextUI$FocusAction","0.00%","32","2"
"com.bric.qt.io.TimeToSampleEntry","0.00%","32","1"
"com.bric.qt.io.TimeToSampleAtom","0.00%","32","1"
"javax.swing.plaf.basic.BasicTextUI$RootView","0.00%","32","2"
"java.awt.Toolkit$1","0.00%","24","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","0.00%","24","3"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$PreviewMotionListener","0.00%","24","1"
"com.bixly.pastevid.screencap.components.progressbar.FFMpegTask","0.00%","24","1"
"javax.swing.text.Position$Bias[]","0.00%","24","2"
"com.sun.media.sound.UlawCodec","0.00%","24","1"
"javax.swing.border.EtchedBorder","0.00%","24","2"
"sun.net.spi.DefaultProxySelector$NonProxyInfo","0.00%","24","2"
"com.bixly.pastevid.structs.Queue","0.00%","24","2"
"com.sun.media.sound.SimpleInputDevice[]","0.00%","24","1"
"sun.net.www.MimeTable","0.00%","24","1"
"apple.awt.CToolkit$2","0.00%","24","1"
"sun.swing.SwingUtilities2$LSBCacheEntry","0.00%","24","2"
"com.sun.media.sound.SimpleInputDeviceProvider$InputDeviceInfo[]","0.00%","24","1"
"com.apple.laf.AquaButtonCheckBoxUI$CheckBoxButtonBorder","0.00%","24","1"
"com.bixly.pastevid.screencap.components.progressbar.FFMpegTask[]","0.00%","24","1"
"sun.dc.pr.Rasterizer$ConsumerDisposer","0.00%","24","1"
"com.apple.laf.AquaButtonBorder$Toggle","0.00%","24","1"
"com.apple.laf.AquaButtonBorder$Named","0.00%","24","1"
"com.apple.laf.AquaButtonBorder$Dynamic$1","0.00%","24","1"
"javax.swing.JOptionPane$3","0.00%","24","2"
"javax.swing.event.UndoableEditEvent","0.00%","24","2"
"javax.swing.text.StyleContext$FontKey","0.00%","24","1"
"java.io.FilePermissionCollection","0.00%","24","5"
"com.sun.imageio.spi.RAFImageOutputStreamSpi","0.00%","24","1"
"com.apple.eawt._AppMenuBarHandler","0.00%","24","1"
"com.apple.eawt._AppEventLegacyHandler","0.00%","24","1"
"com.sun.imageio.spi.RAFImageInputStreamSpi","0.00%","24","1"
"com.sun.imageio.spi.OutputStreamImageOutputStreamSpi","0.00%","24","1"
"com.sun.imageio.spi.InputStreamImageInputStreamSpi","0.00%","24","1"
"com.apple.eawt._AppEventHandler$_QuitDispatcher","0.00%","24","1"
"com.sun.imageio.spi.FileImageOutputStreamSpi","0.00%","24","1"
"com.apple.eawt._AppEventHandler$_PreferencesDispatcher","0.00%","24","1"
"sun.awt.PostEventQueue","0.00%","24","1"
"com.sun.imageio.spi.FileImageInputStreamSpi","0.00%","24","1"
"com.bixly.pastevid.util.view.MouseMoveListener","0.00%","24","2"
"com.sun.media.sound.PCMtoPCMCodec","0.00%","24","1"
"java.util.concurrent.atomic.AtomicLong","0.00%","24","3"
"java.text.AttributedCharacterIterator$Attribute[]","0.00%","24","1"
"javax.sound.sampled.Line$Info[]","0.00%","24","1"
"com.apple.eawt._AppEventHandler$_AboutDispatcher","0.00%","24","1"
"sun.awt.SunHints$LCDContrastKey","0.00%","24","1"
"javax.swing.JButton[]","0.00%","24","3"
"com.apple.eawt.QuitStrategy[]","0.00%","24","1"
"com.apple.eawt.QuitStrategy","0.00%","24","2"
"com.apple.eawt.Application","0.00%","24","1"
"java.util.Arrays$ArrayList","0.00%","24","4"
"javax.swing.text.DefaultEditorKit$InsertBreakAction","0.00%","24","1"
"java.lang.RuntimePermission","0.00%","24","4"
"javax.swing.text.DefaultEditorKit$InsertContentAction","0.00%","24","1"
"javax.swing.plaf.basic.BasicOptionPaneUI$ButtonAreaLayout","0.00%","24","3"
"java.lang.ProcessEnvironment$Variable","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$InsertTabAction","0.00%","24","1"
"java.util.ServiceLoader$1","0.00%","24","4"
"com.sun.media.sound.JDK13Services$ProviderCache","0.00%","24","4"
"java.awt.EventFilter$FilterAction","0.00%","24","3"
"java.util.Collections$UnmodifiableRandomAccessList","0.00%","24","4"
"javax.swing.RepaintManager$PaintManager","0.00%","24","1"
"apple.laf.JRSUIControl$ThreadLocalByteBuffer","0.00%","24","1"
"java.util.regex.Pattern$6","0.00%","24","4"
"com.bixly.pastevid.recorders.VideoCache","0.00%","24","1"
"javax.swing.plaf.basic.BasicSliderUI$ScrollListener","0.00%","24","4"
"com.bixly.pastevid.recorders.RecorderStatus","0.00%","24","3"
"java.io.SerialCallbackContext","0.00%","24","2"
"java.awt.GraphicsDevice[]","0.00%","24","1"
"javax.swing.JOptionPane$1","0.00%","24","2"
"javax.swing.text.DefaultEditorKit$PasteAction","0.00%","24","1"
"java.awt.Dimension[]","0.00%","24","1"
"sun.net.www.protocol.http.Handler","0.00%","24","1"
"javax.swing.RepaintManager$ProcessingRunnable","0.00%","24","1"
"java.security.AllPermissionCollection","0.00%","24","1"
"java.util.regex.Pattern$2","0.00%","24","2"
"java.util.Currency","0.00%","24","1"
"com.sun.media.sound.HeadspaceMixer$MixerReverbControl","0.00%","24","1"
"javax.swing.plaf.basic.BasicTextUI$UpdateHandler","0.00%","24","2"
"java.awt.Dialog$ModalityType","0.00%","24","4"
"sun.dc.pr.PathStroker","0.00%","24","1"
"java.awt.Dialog$ModalExclusionType","0.00%","24","3"
"java.awt.Dialog$3","0.00%","24","1"
"java.util.regex.Pattern$Ques","0.00%","24","5"
"java.util.regex.Pattern$SingleI","0.00%","24","2"
"javax.swing.text.DefaultEditorKit$ReadOnlyAction","0.00%","24","1"
"com.bixly.pastevid.screencap.components.capturebox.CaptureBox$1","0.00%","24","5"
"javax.swing.text.DefaultEditorKit$DumpModelAction","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$SelectAllAction","0.00%","24","1"
"sun.dc.pr.PathFiller","0.00%","24","1"
"java.util.zip.ZipFile$2","0.00%","24","2"
"java.awt.dnd.DropTargetContext","0.00%","24","2"
"javax.swing.LayoutStyle$ComponentPlacement","0.00%","24","3"
"com.apple.resources.LoadNativeBundleAction","0.00%","24","1"
"com.apple.laf.ScreenPopupFactory$1","0.00%","24","3"
"com.apple.laf.ScreenPopupFactory","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$DeleteWordAction","0.00%","24","2"
"javax.swing.TimerQueue","0.00%","24","1"
"java.awt.VKCollection","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$DeletePrevCharAction","0.00%","24","1"
"javax.swing.plaf.BorderUIResource$LineBorderUIResource","0.00%","24","1"
"java.lang.Class$4","0.00%","24","2"
"sun.dc.pr.PathDasher","0.00%","24","1"
"java.awt.Component$BaselineResizeBehavior","0.00%","24","4"
"com.apple.laf.AquaUtilControlSize$SizeDescriptor","0.00%","24","5"
"apple.awt.CToolkit$1","0.00%","24","3"
"javax.swing.text.DefaultEditorKit$ToggleComponentOrientationAction","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$DeleteNextCharAction","0.00%","24","1"
"java.io.ObjectStreamClass$ClassDataSlot[]","0.00%","24","3"
"com.apple.laf.AquaTextFieldBorder","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$DefaultKeyTypedAction","0.00%","24","3"
"java.awt.ColorPaintContext","0.00%","24","1"
"javax.swing.plaf.ComponentInputMapUIResource","0.00%","24","2"
"sun.net.www.protocol.http.HttpURLConnection$TunnelState","0.00%","24","3"
"javax.swing.text.DefaultEditorKit$UnselectAction","0.00%","24","1"
"sun.awt.image.ImageFetcher$1","0.00%","24","3"
"javax.swing.plaf.basic.BasicOptionPaneUI$ButtonFactory[]","0.00%","24","2"
"javax.swing.text.DefaultEditorKit$WritableAction","0.00%","24","1"
"java.io.ObjectStreamClass$ClassDataSlot","0.00%","24","3"
"com.apple.laf.AquaScrollRegionBorder","0.00%","24","1"
"com.apple.laf.AquaScrollPaneUI$XYMouseWheelHandler","0.00%","24","1"
"sun.misc.PerformanceLogger$TimeData","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$CutAction","0.00%","24","1"
"com.apple.laf.AquaScrollBarUI$ScrollListener","0.00%","24","2"
"com.sun.awt.AWTUtilities$Translucency","0.00%","24","3"
"apple.awt.RuntimeOptions$MostRecentContextOptionsPair","0.00%","24","1"
"java.awt.AWTKeyStroke[]","0.00%","24","4"
"sun.misc.RegexpPool","0.00%","24","1"
"com.apple.laf.AquaRootPaneUI$DefaultButtonPainter","0.00%","24","5"
"com.apple.laf.AquaRootPaneUI","0.00%","24","1"
"com.bixly.pastevid.screencap.components.capturebox.CaptureBoxState","0.00%","24","4"
"javax.swing.UIDefaults[]","0.00%","24","1"
"javax.swing.KeyboardManager","0.00%","24","1"
"javax.swing.Action[]","0.00%","24","3"
"java.util.concurrent.LinkedBlockingQueue$Node","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$CopyAction","0.00%","24","1"
"com.apple.laf.AquaOptionPaneUI$AquaButtonAreaLayout","0.00%","24","3"
"java.awt.ModalEventFilter$ApplicationModalEventFilter","0.00%","24","2"
"javax.imageio.ImageIO$CacheInfo","0.00%","24","1"
"java.net.Proxy$Type","0.00%","24","3"
"java.net.InetAddress$CacheEntry","0.00%","24","2"
"java.util.jar.JarFile$1","0.00%","24","2"
"sun.util.LocaleServiceProviderPool$1","0.00%","24","4"
"sun.nio.ch.Util$BufferCache","0.00%","24","1"
"javax.swing.text.DefaultEditorKit$BeepAction","0.00%","24","1"
"sun.nio.cs.UTF_16","0.00%","24","1"
"com.apple.laf.AquaLabelUI","0.00%","24","1"
"sun.security.action.GetIntegerAction","0.00%","24","4"
"javax.swing.JViewport$ContentScaleFactorListener","0.00%","24","1"
"com.apple.laf.AquaKeyBindings$DeletePrevWordAction","0.00%","24","1"
"com.apple.laf.AquaKeyBindings$DeleteNextWordAction","0.00%","24","1"
"sun.net.NetworkClient$1","0.00%","24","1"
"sun.security.jca.GetInstance$Instance","0.00%","24","2"
"apple.awt.CGlobalCursorManager$NativeUpdater","0.00%","24","1"
"sun.net.ProgressMonitor","0.00%","24","1"
"javax.swing.TimerQueue$1","0.00%","24","1"
"java.awt.image.FilteredImageSource","0.00%","24","4"
"javax.swing.JComponent$IntVector","0.00%","24","1"
"sun.swing.SwingUtilities2$AATextInfo","0.00%","24","1"
"javax.swing.JTextField$NotifyAction","0.00%","24","1"
"java.awt.SystemTray","0.00%","24","1"
"javax.swing.plaf.basic.BasicLabelUI","0.00%","24","1"
"java.net.Proxy","0.00%","24","1"
"javax.swing.text.JTextComponent$KeymapActionMap","0.00%","24","2"
"sun.net.spi.DefaultProxySelector$2","0.00%","24","2"
"javax.swing.text.JTextComponent$KeymapWrapper","0.00%","24","2"
"com.sun.media.sound.AlawCodec","0.00%","24","1"
"sun.awt.MostRecentKeyValue","0.00%","24","2"
"java.net.InetSocketAddress","0.00%","24","2"
"java.io.ObjectOutputStream$ReplaceTable","0.00%","24","4"
"java.util.WeakHashMap$KeySet","0.00%","16","1"
"java.net.SocksSocketImpl$5","0.00%","16","2"
"java.net.Socket$3","0.00%","16","2"
"java.net.Socket$2","0.00%","16","2"
"apple.awt.CToolkit$LookAndFeelChangeListener","0.00%","16","1"
"java.util.concurrent.atomic.AtomicBoolean","0.00%","16","1"
"java.util.concurrent.locks.ReentrantLock","0.00%","16","3"
"java.util.jar.Attributes","0.00%","16","4"
"java.util.jar.JarVerifier$3","0.00%","16","3"
"javax.accessibility.AccessibleRelationSet","0.00%","16","1"
"javax.imageio.spi.IIORegistry","0.00%","16","1"
"javax.imageio.spi.IIORegistry$1","0.00%","16","1"
"javax.sound.sampled.AudioFormat$Encoding","0.00%","16","5"
"javax.sound.sampled.BooleanControl$Type","0.00%","16","2"
"java.lang.ThreadLocal","0.00%","16","1"
"javax.sound.sampled.DataLine$Info[]","0.00%","16","3"
"javax.sound.sampled.EnumControl$Type","0.00%","16","1"
"javax.sound.sampled.Line$Info","0.00%","16","2"
"javax.sound.sampled.Port$Info[]","0.00%","16","1"
"javax.sound.sampled.Port[]","0.00%","16","1"
"javax.swing.Autoscroller","0.00%","16","1"
"javax.swing.ImageIcon$1","0.00%","16","1"
"javax.swing.ImageIcon$2","0.00%","16","1"
"javax.swing.JComponent$1","0.00%","16","1"
"javax.swing.JOptionPane$2","0.00%","16","2"
"javax.swing.JScrollBar$ModelListener","0.00%","16","2"
"javax.swing.JSlider$ModelListener","0.00%","16","2"
"javax.swing.JTextField$ScrollRepainter","0.00%","16","1"
"javax.swing.JViewport$ViewListener","0.00%","16","1"
"javax.swing.LayoutComparator","0.00%","16","1"
"javax.swing.PopupFactory$HeavyWeightPopup","0.00%","16","2"
"javax.swing.PopupFactory$HeavyWeightPopup$1","0.00%","16","2"
"javax.swing.RepaintManager$DisplayChangedHandler","0.00%","16","1"
"javax.swing.SwingContainerOrderFocusTraversalPolicy","0.00%","16","1"
"javax.swing.SwingDefaultFocusTraversalPolicy","0.00%","16","1"
"javax.swing.SwingPaintEventDispatcher","0.00%","16","1"
"java.io.ObjectStreamClass$5","0.00%","16","2"
"java.io.ObjectStreamClass$4","0.00%","16","2"
"java.io.ObjectStreamClass$3","0.00%","16","2"
"java.io.ObjectStreamClass$1","0.00%","16","2"
"javax.swing.ToolTipManager$Actions","0.00%","16","2"
"javax.swing.ToolTipManager$MoveBeforeEnterListener","0.00%","16","1"
"apple.awt.CSystemTrayPeer","0.00%","16","1"
"javax.swing.ToolTipManager$insideTimerAction","0.00%","16","1"
"javax.swing.ToolTipManager$outsideTimerAction","0.00%","16","1"
"javax.swing.ToolTipManager$stillInsideTimerAction","0.00%","16","1"
"javax.swing.TransferHandler$TransferAction","0.00%","16","3"
"javax.swing.UIManager$1","0.00%","16","1"
"javax.swing.UIManager$2","0.00%","16","1"
"javax.swing.ViewportLayout","0.00%","16","1"
"javax.swing.event.DocumentEvent$EventType","0.00%","16","3"
"javax.swing.plaf.BorderUIResource","0.00%","16","1"
"javax.swing.plaf.basic.BasicBorders$MarginBorder","0.00%","16","1"
"javax.swing.plaf.basic.BasicLookAndFeel$2","0.00%","16","1"
"javax.swing.plaf.basic.BasicOptionPaneUI$2","0.00%","16","3"
"javax.swing.plaf.basic.BasicOptionPaneUI$Actions","0.00%","16","1"
"javax.swing.plaf.basic.BasicOptionPaneUI$Handler","0.00%","16","2"
"javax.swing.plaf.basic.BasicRootPaneUI","0.00%","16","1"
"javax.swing.plaf.basic.BasicScrollPaneUI$Handler","0.00%","16","1"
"javax.swing.plaf.basic.BasicSliderUI$Actions","0.00%","16","1"
"javax.swing.plaf.basic.BasicSliderUI$Handler","0.00%","16","4"
"javax.swing.plaf.basic.BasicTextUI$DragListener","0.00%","16","1"
"java.awt.color.ICC_Profile$1","0.00%","16","1"
"javax.swing.plaf.basic.BasicToolTipUI","0.00%","16","1"
"javax.swing.plaf.basic.BasicToolTipUI$PropertyChangeHandler","0.00%","16","1"
"javax.swing.plaf.basic.BasicViewportUI","0.00%","16","1"
"javax.swing.text.AbstractDocument$1","0.00%","16","1"
"java.awt.Window$1","0.00%","16","1"
"java.awt.TrayIcon[]","0.00%","16","2"
"java.awt.TrayIcon$1","0.00%","16","1"
"java.awt.Toolkit$3","0.00%","16","1"
"java.awt.Toolkit$2","0.00%","16","1"
"javax.swing.text.DefaultCaret$Handler","0.00%","16","2"
"java.awt.Robot$RobotDisposer","0.00%","16","1"
"javax.swing.text.DefaultEditorKit","0.00%","16","1"
"java.awt.MutableBoolean","0.00%","16","1"
"java.awt.MenuComponent$1","0.00%","16","1"
"sun.util.CoreResourceBundleControl","0.00%","16","1"
"java.awt.KeyboardFocusManager$2","0.00%","16","1"
"java.awt.KeyboardFocusManager$1","0.00%","16","1"
"java.awt.ImageCapabilities","0.00%","16","1"
"java.awt.Image$1","0.00%","16","1"
"java.awt.GraphicsEnvironment$1","0.00%","16","1"
"java.awt.GraphicsCallback$PaintCallback","0.00%","16","1"
"java.awt.Frame$1","0.00%","16","1"
"java.awt.EventQueue$3","0.00%","16","1"
"java.awt.EventDispatchThread$HierarchyEventFilter","0.00%","16","1"
"java.awt.EventDispatchThread$1","0.00%","16","1"
"java.awt.Dialog$WakingRunnable","0.00%","16","4"
"java.awt.Dialog$1$1","0.00%","16","2"
"java.awt.Dialog$1","0.00%","16","2"
"java.awt.DefaultFocusTraversalPolicy","0.00%","16","1"
"java.awt.Container$MouseEventTargetFilter","0.00%","16","1"
"java.awt.ComponentOrientation","0.00%","16","3"
"java.awt.Component$DummyRequestFocusController","0.00%","16","1"
"java.awt.Component$AWTTreeLock","0.00%","16","1"
"java.awt.Component$1","0.00%","16","1"
"javax.swing.text.DefaultHighlighter$DefaultHighlightPainter","0.00%","16","1"
"apple.awt.CInputMethodDescriptor","0.00%","16","1"
"java.awt.AWTEvent$2","0.00%","16","1"
"java.awt.AWTEvent$1","0.00%","16","1"
"it.sauronsoftware.jave.locators.MacFFMPEGLocator","0.00%","16","3"
"javax.swing.text.Highlighter$Highlight[]","0.00%","16","1"
"it.sauronsoftware.jave.Encoder","0.00%","16","3"
"javax.swing.text.Position$Bias","0.00%","16","2"
"com.sun.media.sound.WaveFloatFileReader","0.00%","16","1"
"com.sun.media.sound.WaveFileWriter","0.00%","16","1"
"com.sun.media.sound.WaveFileReader","0.00%","16","1"
"com.sun.media.sound.SoftMidiAudioFileReader","0.00%","16","1"
"com.sun.media.sound.SimpleInputDeviceProvider","0.00%","16","1"
"javax.swing.text.SegmentCache","0.00%","16","1"
"javax.swing.text.SimpleAttributeSet","0.00%","16","5"
"javax.swing.text.SimpleAttributeSet$1","0.00%","16","1"
"javax.swing.text.SimpleAttributeSet$EmptyAttributeSet","0.00%","16","1"
"com.sun.media.sound.JSSecurityManager$7","0.00%","16","4"
"com.sun.media.sound.HeadspaceMixerProvider","0.00%","16","1"
"javax.swing.text.StyleConstants$ColorConstants","0.00%","16","2"
"com.sun.media.sound.HAEShutdownHook$1","0.00%","16","1"
"javax.swing.text.StyleConstants$FontConstants","0.00%","16","4"
"com.sun.media.sound.AudioFloatFormatConverter","0.00%","16","1"
"com.sun.media.sound.AuFileWriter","0.00%","16","1"
"com.sun.media.sound.AuFileReader","0.00%","16","1"
"com.sun.media.sound.AiffFileWriter","0.00%","16","1"
"com.sun.media.sound.AiffFileReader","0.00%","16","1"
"com.sun.imageio.stream.StreamCloser$CloseAction[]","0.00%","16","1"
"com.sun.imageio.stream.StreamCloser$2","0.00%","16","1"
"com.sun.imageio.stream.StreamCloser$1","0.00%","16","1"
"javax.swing.text.View[]","0.00%","16","4"
"sun.awt.AppContext$1","0.00%","16","1"
"sun.awt.AppContext$2","0.00%","16","1"
"sun.awt.AppContext$6","0.00%","16","1"
"sun.awt.DebugHelperStub","0.00%","16","1"
"sun.awt.DefaultMouseInfoPeer","0.00%","16","1"
"sun.awt.KeyboardFocusManagerPeerImpl","0.00%","16","1"
"sun.awt.NullComponentPeer","0.00%","16","1"
"sun.awt.SunDisplayChanger","0.00%","16","3"
"sun.awt.SunToolkit$1","0.00%","16","1"
"sun.awt.SunToolkit$3","0.00%","16","1"
"sun.awt.SunToolkit$ModalityListenerList","0.00%","16","1"
"sun.awt.im.ExecutableInputMethodManager$3","0.00%","16","1"
"sun.awt.image.ImageWatched$Link","0.00%","16","1"
"sun.awt.image.PixelConverter","0.00%","16","1"
"sun.awt.image.PixelConverter$Argb","0.00%","16","1"
"sun.awt.image.PixelConverter$ArgbBm","0.00%","16","1"
"sun.awt.image.PixelConverter$ArgbPre","0.00%","16","1"
"sun.awt.image.PixelConverter$Bgrx","0.00%","16","1"
"sun.awt.image.PixelConverter$ByteGray","0.00%","16","1"
"sun.awt.image.PixelConverter$Rgba","0.00%","16","1"
"sun.awt.image.PixelConverter$RgbaPre","0.00%","16","1"
"sun.awt.image.PixelConverter$Rgbx","0.00%","16","1"
"sun.awt.image.PixelConverter$Ushort4444Argb","0.00%","16","1"
"com.bric.qt.io.TimeToSampleEntry[]","0.00%","16","2"
"com.bric.qt.io.SampleToChunkEntry[]","0.00%","16","3"
"com.bric.qt.io.SampleDescriptionEntry[]","0.00%","16","2"
"apple.awt.CImage$Creator","0.00%","16","1"
"sun.awt.image.PixelConverter$Ushort555Rgb","0.00%","16","1"
"sun.awt.image.PixelConverter$Ushort555Rgbx","0.00%","16","1"
"sun.awt.image.PixelConverter$Ushort565Rgb","0.00%","16","1"
"sun.awt.image.PixelConverter$UshortGray","0.00%","16","1"
"com.bric.qt.io.DataReferenceEntry[]","0.00%","16","2"
"com.bric.qt.io.Atom$1","0.00%","16","1"
"sun.awt.image.PixelConverter$Xbgr","0.00%","16","1"
"sun.awt.image.PixelConverter$Xrgb","0.00%","16","1"
"com.bixly.pastevid.util.FileUtil$ExtensionFilter","0.00%","16","1"
"com.bixly.pastevid.util.FileUtil","0.00%","16","1"
"com.bixly.pastevid.screencap.components.settings.SettingsPanel$5","0.00%","16","1"
"com.bixly.pastevid.screencap.components.settings.SettingsPanel$4","0.00%","16","1"
"com.bixly.pastevid.screencap.components.settings.SettingsPanel$3","0.00%","16","1"
"com.bixly.pastevid.screencap.components.settings.SettingsPanel$2","0.00%","16","1"
"com.bixly.pastevid.screencap.components.settings.SettingsPanel$1","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.RecordFromHere$1","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayerForm$1","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$PreivewMouseListener","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$9","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$8","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$7","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$6","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$5","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$4","0.00%","16","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$3","0.00%","16","1"
