"Call Tree - Method","Time [%]","Time","Invocations",
"       com.bixly.pastevid.screencap.RecorderPanel$1.actionPerformed(java.awt.event.ActionEvent)","0.0075492905","205","76"
"        com.bixly.pastevid.screencap.RecorderPanel.updateVolumeLevel()","0.0039403616","107","76"
"        Self time","0.0035721033","97","76"
"       com.bixly.pastevid.recorders.Recorder.unmarkStateSaved()","0.0025778066","70","1"
"        com.bixly.pastevid.util.FileUtil.removeMarker(String)","0.0023200258","63","1"
"        Self time","2.2095484E-4","6","1"
"       com.bixly.pastevid.util.view.MovFileFilter.getDescription()","2.5778066E-4","7","3"
"       com.bixly.pastevid.util.view.MovFileFilter.<init>()","1.4730323E-4","4","1"
"      Self time","1.4730323E-4","4","1"
"     Self time","2.5778066E-4","7","1"
"    com.bixly.pastevid.screencap.RecorderPanel.access$4400(com.bixly.pastevid.screencap.RecorderPanel, java.awt.event.ActionEvent)","2.963704","80479","1"
"     com.bixly.pastevid.screencap.RecorderPanel.btnRecordRecActionPerformed(java.awt.event.ActionEvent)","2.9635568","80475","1"
"      com.bixly.pastevid.screencap.RecorderPanel.recordOrPause()","2.963483","80473","1"
"       com.bixly.pastevid.screencap.RecorderPanel.showPreviewPlayer()","2.9054825","78898","1"
"        com.bixly.pastevid.editors.VideoScrubManager.openPreviewPlayer()","2.412164","65502","1"
"         com.bixly.pastevid.editors.VideoScrubManager.previewSliderAction()","1.5135406","41100","1"
"          com.bixly.pastevid.screencap.components.preview.PreviewPlayerForm.showPlayer()","0.9690711","26315","1"
"           Self time","0.8616502","23398","1"
"           com.bixly.pastevid.screencap.components.preview.PreviewPlayer.showRecordFromHerePanel()","0.106647536","2896","1"
"            Self time","0.102744","2790","1"
"            org.netbeans.lib.awtextra.AbsoluteLayout.layoutContainer(java.awt.Container)","0.003240671","88","1"
"            com.bixly.pastevid.screencap.components.preview.PreviewPlayer.updateRecordNowButtonPosition()","5.892129E-4","16","1"
"             Self time","5.892129E-4","16","1"
"             com.bixly.pastevid.screencap.components.preview.PreviewPlayer$1.<init>(com.bixly.pastevid.screencap.components.preview.PreviewPlayer)","0.0","0","1"
"          com.bixly.pastevid.recorders.VideoCache.getScreenshotImage(int)","0.3949936","10726","1"
"          com.bixly.pastevid.editors.VideoScrubManager.updateTimeLabels(int)","0.06705979","1821","1"
"           com.bixly.pastevid.screencap.components.preview.PreviewPlayer.updateRecordNowButtonPosition()","0.038888052","1056","1"
"            Self time","0.038482968","1045","1"
"            com.bixly.pastevid.screencap.components.preview.PreviewPlayer$1.<init>(com.bixly.pastevid.screencap.components.preview.PreviewPlayer)","3.6825807E-4","10","1"
"           com.bixly.pastevid.editors.VideoScrubManager.getClockTime(int)","0.022058658","599","2"
"           com.bixly.pastevid.screencap.components.preview.PreviewPlayer.setLabelTextTimeCurrent(String)","0.004161316","113","1"
"            Self time","0.0033879743","92","1"
"            com.bixly.pastevid.screencap.components.preview.RecordFromHere.setLabelTextTimeCurrent(String)","7.3651614E-4","20","1"
"           Self time","0.0012520774","34","1"
"           com.bixly.pastevid.screencap.components.preview.PreviewPlayer.setLabelTextTimeRemaining(String)","5.892129E-4","16","1"
"          com.bixly.pastevid.screencap.components.preview.PreviewPlayer.setScreenshot(java.awt.image.BufferedImage)","0.063045785","1712","1"
"           com.bixly.pastevid.screencap.components.preview.PreviewPlayer.setScreenshot(java.awt.image.BufferedImage, boolean, boolean)","0.06293531","1709","1"
"            com.bixly.pastevid.util.ScreenUtil.changeSize(javax.swing.JFrame, java.awt.Dimension)","0.051335175","1394","1"
"            com.bixly.pastevid.screencap.components.preview.PreviewPlayerForm.loadSmartPosition(boolean)","0.008543587","232","1"
"            Self time","0.0020254194","55","1"
"            com.bixly.pastevid.screencap.components.preview.PreviewPlayer.loadPlayerOffset()","8.469936E-4","23","1"
"             com.bixly.pastevid.util.MediaUtil.osIsMac()","6.996903E-4","19","1"
"             Self time","1.1047742E-4","3","1"
"            com.bixly.pastevid.util.view.JImagePanel.setImage(java.awt.image.BufferedImage, int, int)","3.6825808E-5","1","1"
"           Self time","7.3651616E-5","2","1"
"          com.bixly.pastevid.editors.VideoScrubManager.log(Object)","0.013846504","376","1"
"           com.bixly.pastevid.util.LogUtil.log(Class, Object)","0.013772852","374","1"
"            com.bixly.pastevid.util.LogUtil.log(Class, String)","0.013736026","373","1"
"             Self time","0.013515071","367","1"
"             com.bixly.pastevid.structs.Queue.push(Object)","7.3651616E-5","2","1"
"            Self time","0.0","0","1"
"           Self time","3.6825808E-5","1","1"
"          Self time","0.0048241806","131","1"
"          com.bixly.pastevid.screencap.components.preview.PreviewPlayer.getSliderValue()","3.3143227E-4","9","1"
